family,member,dataset,role,samples,patients,accuracy,sensitivity,specificity,average_score,harmonic_score,score,macro_f1,uar,auroc,predicted_adventitious_fraction
no-js,seed20260730,sprsound2022,calibration,1038,36,0.9614643545279383,0.9364406779661016,0.9688279301745636,0.9526343040703327,0.9523590320952597,0.9524966680827962,0.9459591726234791,0.9526343040703327,0.987187750961579,0.23699421965317918
no-js,seed20260731,sprsound2022,calibration,1038,36,0.9132947976878613,0.961864406779661,0.899002493765586,0.9304334502726235,0.9293716816671873,0.9299025659699054,0.8879060436184918,0.9304334502726235,0.9793735998985588,0.29672447013487474
no-js,ensemble,sprsound2022,calibration,1038,36,0.9421965317919075,0.9576271186440678,0.9376558603491272,0.9476414894965974,0.9475362674368039,0.9475888784667006,0.9222246643222507,0.9476414894965974,0.9851642081237584,0.2658959537572254
no-js,seed20260729,sprsound2022,locked_inter_test,1429,41,0.8600419874037789,0.9820051413881749,0.8144230769230769,0.8982141091556259,0.8903975573880344,0.8943058332718301,0.8434672497119096,0.8982141091556259,0.9739272295827566,0.40237928621413577
no-js,seed20260730,sprsound2022,locked_inter_test,1429,41,0.9104268719384184,0.9588688946015425,0.8923076923076924,0.9255882934546174,0.9243916508214585,0.9249899721380379,0.8945153908614454,0.9255882934546174,0.9763941071781688,0.33939818054583626
no-js,seed20260731,sprsound2022,locked_inter_test,1429,41,0.8439468159552135,0.9845758354755784,0.7913461538461538,0.8879609946608661,0.8774487902715087,0.8827048924661873,0.8276022875493456,0.8879609946608661,0.9746786632390745,0.4198740377886634
no-js,ensemble,sprsound2022,locked_inter_test,1429,41,0.8789363191042687,0.9820051413881749,0.8403846153846154,0.9111948783863951,0.9056921111240719,0.9084434947552336,0.862655467264304,0.9111948783863951,0.9814267352185089,0.3834849545136459
no-js,seed20260729,sprsound2022,locked_intra_test,1004,160,0.849601593625498,0.9367088607594937,0.809593023255814,0.8731509420076538,0.8685244692619712,0.8708377056348124,0.8387011315093708,0.8731509420076538,0.9584145937591992,0.4252988047808765
no-js,seed20260730,sprsound2022,locked_intra_test,1004,160,0.9163346613545816,0.8734177215189873,0.936046511627907,0.9047321165734472,0.903648269410664,0.9041901929920556,0.9033500192529842,0.9047321165734472,0.9688603915219312,0.3187250996015936
no-js,seed20260731,sprsound2022,locked_intra_test,1004,160,0.8217131474103586,0.9240506329113924,0.7747093023255814,0.849379967618487,0.8428155224139239,0.8460977450162055,0.8108123187375977,0.849379967618487,0.946004746835443,0.4452191235059761
no-js,ensemble,sprsound2022,locked_intra_test,1004,160,0.8764940239043825,0.9208860759493671,0.8561046511627907,0.8884953635560788,0.8873145377550915,0.8879049506555852,0.8645622554970998,0.8884953635560788,0.9619333235207537,0.3884462151394422
